team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Arsenal,25,26.6,56.8,37,407,"3,330",37.0,65,53,118,63,2,2,70,6,57.6,56.1,43.2,99.3,830,1764,1.76,1.43,3.19,1.70,3.14,1.56,1.17,2.72,1.52,2.68,Premier League
Aston Villa,28,27.8,51.0,37,407,"3,330",37.0,56,45,101,53,3,6,74,3,55.7,50.9,41.5,92.3,709,1326,1.51,1.22,2.73,1.43,2.65,1.50,1.12,2.63,1.37,2.50,Premier League
Bournemouth,29,25.9,48.1,37,407,"3,330",37.0,55,39,94,49,6,7,97,3,62.4,56.9,42.6,99.5,732,1438,1.49,1.05,2.54,1.32,2.38,1.69,1.15,2.84,1.54,2.69,Premier League
Brentford,28,26.6,47.8,37,407,"3,330",37.0,64,43,107,59,5,6,61,1,57.6,53.0,41.3,94.2,579,1318,1.73,1.16,2.89,1.59,2.76,1.56,1.12,2.67,1.43,2.55,Premier League
Brighton,32,25.7,52.0,37,407,"3,330",37.0,60,40,100,54,6,6,77,3,56.5,51.8,39.7,91.5,798,1478,1.62,1.08,2.70,1.46,2.54,1.53,1.07,2.60,1.40,2.47,Premier League
Chelsea,29,24.5,57.3,37,407,"3,330",37.0,60,46,106,56,4,5,99,2,66.7,62.8,51.6,114.4,848,1573,1.62,1.24,2.86,1.51,2.76,1.80,1.40,3.20,1.70,3.09,Premier League
Crystal Palace,29,27.0,43.1,37,407,"3,330",37.0,48,37,85,45,3,4,80,4,58.7,55.5,44.7,100.2,491,1140,1.30,1.00,2.30,1.22,2.22,1.59,1.21,2.79,1.50,2.71,Premier League
Everton,26,28.8,41.1,37,407,"3,330",37.0,38,26,64,36,2,2,78,2,40.6,39.0,31.5,70.6,474,1027,1.03,0.70,1.73,0.97,1.68,1.10,0.85,1.95,1.06,1.91,Premier League
Fulham,26,28.8,52.4,37,407,"3,330",37.0,53,44,97,50,3,4,80,2,47.8,44.6,36.9,81.6,773,1524,1.43,1.19,2.62,1.35,2.54,1.29,1.00,2.29,1.21,2.20,Premier League
Ipswich Town,32,26.6,40.5,37,407,"3,330",37.0,34,25,59,32,2,2,91,5,33.6,32.0,23.7,55.7,488,896,0.92,0.68,1.59,0.86,1.54,0.91,0.64,1.55,0.87,1.51,Premier League
Leicester City,31,27.4,45.6,37,407,"3,330",37.0,33,25,58,31,2,3,85,0,32.4,30.1,25.0,55.2,569,1068,0.89,0.68,1.57,0.84,1.51,0.88,0.68,1.55,0.81,1.49,Premier League
Liverpool,24,28.0,57.4,37,407,"3,330",37.0,84,64,148,75,9,9,65,2,80.0,73.1,59.6,132.7,801,1846,2.27,1.73,4.00,2.03,3.76,2.16,1.61,3.77,1.98,3.59,Premier League
Manchester City,29,27.6,61.6,37,407,"3,330",37.0,69,51,120,67,2,3,59,2,65.2,62.7,52.5,115.2,1112,1890,1.86,1.38,3.24,1.81,3.19,1.76,1.42,3.18,1.70,3.11,Premier League
