team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Manchester Utd,31,26.3,53.2,37,407,"3,330",37.0,40,28,68,37,3,3,84,3,49.7,47.3,37.9,85.2,669,1379,1.08,0.76,1.84,1.00,1.76,1.34,1.02,2.37,1.28,2.30,Premier League
Newcastle Utd,24,28.2,50.9,37,407,"3,330",37.0,66,50,116,61,5,6,67,1,62.6,58.4,45.2,103.6,727,1541,1.78,1.35,3.14,1.65,3.00,1.69,1.22,2.91,1.58,2.80,Premier League
Nott'ham Forest,23,27.0,40.9,37,407,"3,330",37.0,57,42,99,54,3,3,88,2,44.3,42.0,32.1,74.1,610,1079,1.54,1.14,2.68,1.46,2.59,1.20,0.87,2.07,1.13,2.00,Premier League
Southampton,36,26.1,48.8,37,407,"3,330",37.0,24,15,39,24,0,2,89,3,32.0,30.3,24.5,54.8,628,1114,0.65,0.41,1.05,0.65,1.05,0.87,0.66,1.53,0.82,1.48,Premier League
Tottenham,31,25.8,55.2,37,407,"3,330",37.0,60,47,107,58,2,3,69,1,56.8,54.4,43.1,97.5,827,1582,1.62,1.27,2.89,1.57,2.84,1.53,1.17,2.70,1.47,2.64,Premier League
West Ham,27,28.9,48.2,37,407,"3,330",37.0,40,26,66,37,3,3,81,3,45.9,43.6,33.0,76.6,617,1192,1.08,0.70,1.78,1.00,1.70,1.24,0.89,2.13,1.18,2.07,Premier League
Wolves,31,27.7,48.1,37,407,"3,330",37.0,52,41,93,52,0,0,77,2,42.6,42.6,34.6,77.2,587,1148,1.41,1.11,2.51,1.41,2.51,1.15,0.93,2.09,1.15,2.09,Premier League
Atalanta,32,28.0,55.3,37,407,"3,330",37.0,74,52,126,69,5,7,66,1,63.7,58.3,45.7,104.0,880,1773,2.00,1.41,3.41,1.86,3.27,1.72,1.24,2.96,1.58,2.81,Serie A
Bologna,30,27.2,58.1,37,407,"3,330",37.0,55,42,97,49,6,7,56,4,48.5,43.1,34.6,77.6,626,1420,1.49,1.14,2.62,1.32,2.46,1.31,0.93,2.25,1.16,2.10,Serie A
Cagliari,27,27.4,45.2,37,407,"3,330",37.0,38,31,69,35,3,3,67,3,42.6,40.2,32.0,72.2,501,1128,1.03,0.84,1.86,0.95,1.78,1.15,0.86,2.02,1.09,1.95,Serie A
Como,38,27.1,54.9,37,407,"3,330",37.0,44,39,83,44,0,2,86,6,44.2,42.7,35.6,78.3,638,1333,1.19,1.05,2.24,1.19,2.24,1.19,0.96,2.16,1.15,2.12,Serie A
Empoli,34,26.2,41.0,37,407,"3,330",37.0,30,21,51,28,2,3,66,5,31.6,29.2,22.7,52.0,415,978,0.81,0.57,1.38,0.76,1.32,0.85,0.61,1.47,0.79,1.40,Serie A
Fiorentina,34,27.1,50.0,37,407,"3,330",37.0,55,37,92,49,6,8,80,3,46.2,39.9,32.8,72.7,595,1196,1.49,1.00,2.49,1.32,2.32,1.25,0.89,2.13,1.08,1.96,Serie A
Genoa,36,27.1,45.8,37,407,"3,330",37.0,32,25,57,32,0,2,69,1,36.3,34.6,26.0,60.6,461,969,0.86,0.68,1.54,0.86,1.54,0.98,0.70,1.68,0.94,1.64,Serie A
Hellas Verona,32,25.9,38.9,37,407,"3,330",37.0,29,18,47,27,2,2,96,9,33.1,31.5,24.0,55.5,447,995,0.78,0.49,1.27,0.73,1.22,0.89,0.65,1.54,0.85,1.50,Serie A
Inter,25,30.2,59.7,37,407,"3,330",37.0,74,55,129,66,8,9,53,1,65.5,58.8,47.0,105.8,672,1698,2.00,1.49,3.49,1.78,3.27,1.77,1.27,3.04,1.59,2.86,Serie A
Juventus,29,25.5,57.2,37,407,"3,330",37.0,53,38,91,48,5,5,65,3,49.1,45.3,35.0,80.3,782,1529,1.43,1.03,2.46,1.30,2.32,1.33,0.95,2.27,1.22,2.17,Serie A
Lazio,27,28.0,54.6,37,407,"3,330",37.0,60,43,103,54,6,7,91,6,55.4,50.1,37.3,87.5,755,1525,1.62,1.16,2.78,1.46,2.62,1.50,1.01,2.51,1.35,2.36,Serie A
Lecce,31,26.9,44.2,37,407,"3,330",37.0,26,20,46,23,3,4,58,5,34.2,31.4,24.2,55.5,511,1065,0.70,0.54,1.24,0.62,1.16,0.92,0.65,1.58,0.85,1.50,Serie A
Milan,34,26.5,53.8,37,407,"3,330",37.0,57,42,99,53,4,8,70,6,62.3,56.0,45.5,101.6,896,1543,1.54,1.14,2.68,1.43,2.57,1.68,1.23,2.91,1.51,2.75,Serie A
Monza,35,27.6,48.6,37,407,"3,330",37.0,27,18,45,24,3,3,89,3,29.6,27.4,20.6,48.0,516,1068,0.73,0.49,1.22,0.65,1.14,0.80,0.56,1.36,0.74,1.30,Serie A
Napoli,27,29.4,54.3,37,407,"3,330",37.0,54,40,94,50,4,5,45,0,50.5,46.8,37.2,83.9,710,1507,1.46,1.08,2.54,1.35,2.43,1.37,1.00,2.37,1.26,2.27,Serie A
Parma,32,24.6,44.1,37,407,"3,330",37.0,40,29,69,34,6,7,77,6,40.6,35.1,27.7,62.8,556,1023,1.08,0.78,1.86,0.92,1.70,1.10,0.75,1.85,0.95,1.70,Serie A
Roma,28,27.3,53.9,37,407,"3,330",37.0,53,34,87,46,7,7,65,1,51.0,45.5,34.0,79.6,669,1458,1.43,0.92,2.35,1.24,2.16,1.38,0.92,2.30,1.23,2.15,Serie A
Torino,30,27.5,47.6,37,407,"3,330",37.0,36,21,57,34,2,4,79,3,34.1,31.1,22.2,53.2,505,1078,0.97,0.57,1.54,0.92,1.49,0.92,0.60,1.52,0.84,1.44,Serie A
Udinese,30,27.2,47.5,37,407,"3,330",37.0,39,27,66,37,2,4,85,4,36.8,33.5,26.6,60.1,557,1142,1.05,0.73,1.78,1.00,1.73,0.99,0.72,1.71,0.91,1.63,Serie A
Venezia,36,26.2,45.1,37,407,"3,330",37.0,29,15,44,25,4,5,74,2,34.9,31.1,21.8,52.9,493,1032,0.78,0.41,1.19,0.68,1.08,0.94,0.59,1.53,0.84,1.43,Serie A
Augsburg,29,27.6,44.3,34,374,"3,060",34.0,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.03,0.76,1.79,1.00,1.76,1.02,0.74,1.76,0.97,1.71,Bundesliga
Bayern Munich,29,28.5,67.9,34,374,"3,060",34.0,96,66,162,87,9,10,48,1,81.7,74.0,59.7,133.7,831,2138,2.82,1.94,4.76,2.56,4.50,2.40,1.76,4.16,2.18,3.93,Bundesliga
Bochum,27,28.8,45.5,34,374,"3,060",34.0,32,23,55,31,1,3,71,2,41.8,39.3,30.0,69.4,378,1090,0.94,0.68,1.62,0.91,1.59,1.23,0.88,2.11,1.16,2.04,Bundesliga
Dortmund,28,27.4,58.9,34,374,"3,060",34.0,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563,2.03,1.65,3.68,1.88,3.53,1.80,1.39,3.19,1.66,3.06,Bundesliga
Eint Frankfurt,26,25.7,49.7,34,374,"3,060",34.0,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347,2.00,1.38,3.38,1.91,3.29,1.91,1.33,3.24,1.81,3.13,Bundesliga
Freiburg,26,27.9,48.7,34,374,"3,060",34.0,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129,1.35,1.03,2.38,1.35,2.38,1.30,0.90,2.20,1.21,2.11,Bundesliga
Gladbach,26,27.3,49.6,34,374,"3,060",34.0,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112,1.56,1.15,2.71,1.44,2.59,1.49,1.11,2.60,1.37,2.48,Bundesliga
Heidenheim,27,27.6,43.5,34,374,"3,060",34.0,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974,1.09,0.76,1.85,0.94,1.71,1.18,0.84,2.02,1.07,1.91,Bundesliga
Hoffenheim,35,27.3,48.7,34,374,"3,060",34.0,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73.0,481,1218,1.35,0.88,2.24,1.26,2.15,1.25,0.96,2.22,1.19,2.15,Bundesliga
Holstein Kiel,27,26.4,43.6,34,374,"3,060",34.0,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875,1.44,0.85,2.29,1.32,2.18,1.17,0.79,1.96,1.06,1.84,Bundesliga
Leverkusen,23,27.8,59.2,34,374,"3,060",34.0,70,53,123,67,3,6,62,1,56.9,52.0,41.9,93.9,696,1692,2.06,1.56,3.62,1.97,3.53,1.67,1.23,2.91,1.53,2.76,Bundesliga
Mainz 05,25,28.3,50.4,34,374,"3,060",34.0,53,37,90,49,4,4,71,5,50.1,47.0,37.5,84.6,466,1286,1.56,1.09,2.65,1.44,2.53,1.47,1.10,2.58,1.38,2.49,Bundesliga
RB Leipzig,29,26.1,52.2,34,374,"3,060",34.0,51,36,87,48,3,4,68,5,46.6,43.4,35.6,79.0,516,1353,1.50,1.06,2.56,1.41,2.47,1.37,1.05,2.42,1.28,2.32,Bundesliga
St. Pauli,28,27.7,44.2,34,374,"3,060",34.0,26,22,48,25,1,2,53,4,35.3,33.7,26.3,60.0,418,1073,0.76,0.65,1.41,0.74,1.38,1.04,0.77,1.81,0.99,1.76,Bundesliga
Stuttgart,29,25.7,57.2,34,374,"3,060",34.0,61,45,106,59,2,6,72,5,62.3,57.7,45.3,103.0,545,1493,1.79,1.32,3.12,1.74,3.06,1.83,1.33,3.17,1.70,3.03,Bundesliga
Union Berlin,28,28.0,40.0,34,374,"3,060",34.0,36,25,61,33,3,3,72,1,37.0,34.7,23.5,58.2,390,1049,1.06,0.74,1.79,0.97,1.71,1.09,0.69,1.78,1.02,1.71,Bundesliga
Werder Bremen,23,28.4,50.0,34,374,"3,060",34.0,53,38,91,50,3,5,75,4,49.1,45.7,37.4,83.1,495,1351,1.56,1.12,2.68,1.47,2.59,1.45,1.10,2.54,1.34,2.44,Bundesliga
Wolfsburg,27,26.0,46.1,34,374,"3,060",34.0,53,38,91,49,4,5,75,3,47.5,43.4,33.0,76.4,489,1205,1.56,1.12,2.68,1.44,2.56,1.40,0.97,2.37,1.28,2.25,Bundesliga
Angers,30,28.3,41.2,34,374,"3,060",34.0,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,0.91,0.50,1.41,0.76,1.26,1.06,0.69,1.75,0.92,1.61,Ligue 1
Auxerre,29,26.8,42.5,34,374,"3,060",34.0,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,1.38,1.03,2.41,1.26,2.29,1.21,0.94,2.15,1.10,2.04,Ligue 1
Brest,30,29.0,48.4,34,374,"3,060",34.0,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096,1.53,0.94,2.47,1.32,2.26,1.33,0.87,2.20,1.13,1.99,Ligue 1
Le Havre,31,27.7,43.1,34,374,"3,060",34.0,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051,1.09,0.62,1.71,0.82,1.44,1.22,0.72,1.94,0.98,1.70,Ligue 1
Lens,33,27.9,54.1,34,374,"3,060",34.0,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451,1.18,0.76,1.94,1.03,1.79,1.52,1.06,2.59,1.42,2.48,Ligue 1
Lille,27,26.9,57.6,34,374,"3,060",34.0,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616,1.53,0.85,2.38,1.32,2.18,1.61,1.03,2.64,1.40,2.43,Ligue 1
Lyon,31,28.2,56.4,34,374,"3,060",34.0,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615,1.82,1.35,3.18,1.59,2.94,1.77,1.31,3.08,1.54,2.85,Ligue 1
Marseille,32,27.6,63.3,34,374,"3,060",34.0,70,49,119,62,8,10,64,6,63.8,55.8,44.6,100.5,664,1714,2.06,1.44,3.50,1.82,3.26,1.88,1.31,3.19,1.64,2.96,Ligue 1
Monaco,28,25.2,55.0,34,374,"3,060",34.0,63,49,112,57,6,7,60,4,72.8,67.7,55.3,123.0,670,1638,1.85,1.44,3.29,1.68,3.12,2.14,1.63,3.77,1.99,3.62,Ligue 1
Montpellier,35,26.9,45.3,34,374,"3,060",34.0,23,13,36,20,3,4,87,7,33.5,30.4,23.0,53.4,529,1039,0.68,0.38,1.06,0.59,0.97,0.98,0.68,1.66,0.89,1.57,Ligue 1
Nantes,30,27.5,40.4,34,374,"3,060",34.0,39,27,66,34,5,5,71,4,39.1,35.3,27.8,63.1,502,1053,1.15,0.79,1.94,1.00,1.79,1.15,0.82,1.97,1.04,1.86,Ligue 1
Nice,31,27.2,47.5,34,374,"3,060",34.0,62,43,105,56,6,6,59,5,61.6,56.9,42.9,99.8,701,1320,1.82,1.26,3.09,1.65,2.91,1.81,1.26,3.07,1.67,2.93,Ligue 1
Paris S-G,28,24.4,68.0,34,374,"3,060",34.0,89,69,158,83,6,7,37,0,88.9,83.3,70.8,154.1,936,2123,2.62,2.03,4.65,2.44,4.47,2.61,2.08,4.70,2.45,4.53,Ligue 1
Reims,34,25.4,44.1,34,374,"3,060",34.0,32,19,51,31,1,2,66,6,37.4,35.9,26.5,62.3,586,1156,0.94,0.56,1.50,0.91,1.47,1.10,0.78,1.88,1.06,1.83,Ligue 1
Rennes,35,25.9,50.9,34,374,"3,060",34.0,51,32,83,46,5,8,67,2,48.6,42.7,29.6,72.4,663,1440,1.50,0.94,2.44,1.35,2.29,1.43,0.87,2.30,1.26,2.13,Ligue 1
Saint-Étienne,32,26.7,47.1,34,374,"3,060",34.0,39,28,67,36,3,4,65,3,36.4,33.2,24.6,57.8,529,1262,1.15,0.82,1.97,1.06,1.88,1.07,0.72,1.79,0.98,1.70,Ligue 1
Strasbourg,30,22.2,50.1,34,374,"3,060",34.0,54,43,97,52,2,2,71,3,49.3,47.7,38.5,86.2,563,1204,1.59,1.26,2.85,1.53,2.79,1.45,1.13,2.58,1.40,2.53,Ligue 1
Toulouse,27,26.0,45.0,34,374,"3,060",34.0,42,34,76,39,3,4,54,3,49.1,46.0,34.7,80.6,543,1219,1.24,1.00,2.24,1.15,2.15,1.45,1.02,2.46,1.35,2.37,Ligue 1
Alavés,29,27.4,45.3,37,407,"3,330",37.0,37,20,57,29,8,10,105,5,40.9,33.0,24.4,57.4,436,1137,1.00,0.54,1.54,0.78,1.32,1.10,0.66,1.76,0.89,1.55,La Liga
Athletic Club,31,27.7,49.1,37,407,"3,330",37.0,53,40,93,50,3,6,63,3,51.8,47.0,35.8,82.8,667,1552,1.43,1.08,2.51,1.35,2.43,1.40,0.97,2.37,1.27,2.24,La Liga
Atlético Madrid,24,29.2,52.5,37,407,"3,330",37.0,64,48,112,58,6,7,75,3,61.9,56.6,46.1,102.7,737,1506,1.73,1.30,3.03,1.57,2.86,1.67,1.25,2.92,1.53,2.78,La Liga
Barcelona,28,25.5,68.1,37,407,"3,330",37.0,96,71,167,90,6,7,63,3,88.0,82.4,66.0,148.5,848,2178,2.59,1.92,4.51,2.43,4.35,2.38,1.78,4.16,2.23,4.01,La Liga
Betis,36,28.3,52.5,37,407,"3,330",37.0,54,36,90,47,7,10,74,4,53.7,46.0,36.6,82.6,660,1440,1.46,0.97,2.43,1.27,2.24,1.45,0.99,2.44,1.24,2.23,La Liga
Celta Vigo,30,27.7,53.3,37,407,"3,330",37.0,56,38,94,48,8,9,80,6,52.7,45.7,37.0,82.8,681,1609,1.51,1.03,2.54,1.30,2.32,1.42,1.00,2.42,1.24,2.24,La Liga
Espanyol,27,26.0,39.7,37,407,"3,330",37.0,36,26,62,32,4,4,85,1,32.4,29.3,23.4,52.6,485,978,0.97,0.70,1.68,0.86,1.57,0.88,0.63,1.51,0.79,1.42,La Liga
Getafe,30,28.5,42.0,37,407,"3,330",37.0,33,20,53,28,5,5,107,6,36.4,32.5,23.5,56.0,362,965,0.89,0.54,1.43,0.76,1.30,0.98,0.64,1.62,0.88,1.51,La Liga
Girona,30,28.3,56.6,37,407,"3,330",37.0,43,31,74,39,4,5,76,2,42.4,38.6,31.6,70.2,746,1659,1.16,0.84,2.00,1.05,1.89,1.15,0.85,2.00,1.04,1.90,La Liga
Las Palmas,32,27.6,50.6,37,407,"3,330",37.0,38,27,65,35,3,4,108,4,35.8,32.7,25.9,58.6,486,1172,1.03,0.73,1.76,0.95,1.68,0.97,0.70,1.67,0.88,1.58,La Liga
Leganés,26,28.6,42.3,37,407,"3,330",37.0,35,25,60,30,5,7,82,6,33.9,28.5,22.2,50.7,397,996,0.95,0.68,1.62,0.81,1.49,0.92,0.60,1.52,0.77,1.37,La Liga
Mallorca,28,29.6,46.9,37,407,"3,330",37.0,34,24,58,30,4,5,79,6,38.1,34.2,26.1,60.3,469,1153,0.92,0.65,1.57,0.81,1.46,1.03,0.71,1.74,0.93,1.63,La Liga
Osasuna,25,28.3,45.9,37,407,"3,330",37.0,45,27,72,36,9,9,86,0,42.4,36.1,28.4,64.5,554,1180,1.22,0.73,1.95,0.97,1.70,1.15,0.77,1.91,0.98,1.74,La Liga
Rayo Vallecano,26,30.1,51.6,37,407,"3,330",37.0,38,27,65,38,0,1,94,3,43.2,42.4,34.3,76.7,560,1311,1.03,0.73,1.76,1.03,1.76,1.17,0.93,2.09,1.15,2.07,La Liga
Real Madrid,30,27.5,60.4,37,407,"3,330",37.0,76,54,130,66,10,13,57,4,72.7,62.8,53.0,115.8,969,1904,2.05,1.46,3.51,1.78,3.24,1.96,1.43,3.40,1.70,3.13,La Liga
Real Sociedad,31,26.0,54.2,37,407,"3,330",37.0,34,22,56,30,4,4,85,4,41.7,38.5,30.2,68.7,631,1320,0.92,0.59,1.51,0.81,1.41,1.13,0.82,1.94,1.04,1.86,La Liga
Sevilla,35,26.9,50.5,37,407,"3,330",37.0,37,30,67,35,2,3,97,8,41.2,38.8,29.3,68.1,560,1134,1.00,0.81,1.81,0.95,1.76,1.11,0.79,1.90,1.05,1.84,La Liga
Valencia,32,25.5,48.2,37,407,"3,330",37.0,42,25,67,37,5,5,83,1,42.5,38.5,29.3,67.9,553,1310,1.14,0.68,1.81,1.00,1.68,1.15,0.79,1.94,1.04,1.83,La Liga
Valladolid,38,26.4,42.8,37,407,"3,330",37.0,26,15,41,21,5,5,90,5,34.2,30.3,25.3,55.6,467,971,0.70,0.41,1.11,0.57,0.97,0.92,0.68,1.61,0.82,1.50,La Liga
Villarreal,30,27.6,47.5,37,407,"3,330",37.0,65,48,113,60,5,7,96,4,63.7,58.1,48.7,106.8,668,1477,1.76,1.30,3.05,1.62,2.92,1.72,1.32,3.04,1.57,2.89,La Liga
Blackburn,33,27.9,49.1,46,506,"4,140",46.0,52,43,95,49,3,3,101,4,51.7,49.4,38.2,87.7,612,1396,1.13,0.93,2.07,1.07,2.00,1.12,0.83,1.96,1.07,1.91,Championship
Bristol City,24,26.4,51.0,46,506,"4,140",46.0,59,39,98,56,3,3,77,3,59.4,57.0,43.0,100.0,727,1776,1.28,0.85,2.13,1.22,2.07,1.29,0.93,2.22,1.24,2.17,Championship
Burnley,38,25.7,56.6,46,506,"4,140",46.0,66,45,111,62,4,4,84,3,57.5,54.3,41.1,95.4,794,1739,1.43,0.98,2.41,1.35,2.33,1.25,0.89,2.14,1.18,2.07,Championship
Cardiff City,33,27.5,46.8,46,506,"4,140",46.0,46,31,77,45,1,2,79,4,47.2,45.5,33.0,78.5,650,1494,1.00,0.67,1.67,0.98,1.65,1.03,0.72,1.74,0.99,1.71,Championship
Coventry City,26,26.2,54.3,46,506,"4,140",46.0,63,45,108,61,2,4,75,1,67.9,64.9,49.8,114.7,779,1703,1.37,0.98,2.35,1.33,2.30,1.48,1.08,2.56,1.41,2.49,Championship
Derby County,33,28.4,43.8,46,506,"4,140",46.0,43,29,72,41,2,2,90,0,46.5,45.0,29.2,74.2,557,1225,0.93,0.63,1.57,0.89,1.52,1.01,0.64,1.65,0.98,1.61,Championship
Hull City,37,26.0,50.0,46,506,"4,140",46.0,40,25,65,36,4,5,77,3,52.0,48.0,38.2,86.2,782,1434,0.87,0.54,1.41,0.78,1.33,1.13,0.83,1.96,1.04,1.87,Championship
Leeds United,28,26.2,61.3,46,506,"4,140",46.0,91,65,156,88,3,4,70,0,89.1,86.0,67.7,153.7,967,2236,1.98,1.41,3.39,1.91,3.33,1.94,1.47,3.41,1.87,3.34,Championship
Luton Town,37,27.3,45.2,46,506,"4,140",46.0,43,30,73,41,2,2,90,7,50.1,48.7,36.1,84.8,577,1311,0.93,0.65,1.59,0.89,1.54,1.09,0.78,1.87,1.06,1.84,Championship
Middlesbrough,33,26.1,55.4,46,506,"4,140",46.0,62,46,108,57,5,7,69,2,67.3,61.8,49.0,110.8,929,2109,1.35,1.00,2.35,1.24,2.24,1.46,1.06,2.53,1.34,2.41,Championship
Millwall,34,27.5,43.0,46,506,"4,140",46.0,47,31,78,45,2,4,75,1,53.5,50.6,37.4,88.0,469,1327,1.02,0.67,1.70,0.98,1.65,1.16,0.81,1.98,1.10,1.91,Championship
Norwich City,35,26.0,57.8,46,506,"4,140",46.0,68,55,123,67,1,2,86,2,64.4,62.8,49.6,112.5,691,1610,1.48,1.20,2.67,1.46,2.65,1.40,1.08,2.48,1.37,2.44,Championship
Oxford United,34,27.5,43.6,46,506,"4,140",46.0,49,36,85,49,0,0,81,0,42.1,42.1,32.2,74.3,470,1032,1.07,0.78,1.85,1.07,1.85,0.92,0.70,1.62,0.92,1.62,Championship
Plymouth Argyle,34,26.2,42.4,46,506,"4,140",46.0,46,28,74,43,3,3,85,6,40.3,38.1,27.6,65.7,518,1133,1.00,0.61,1.61,0.93,1.54,0.88,0.60,1.48,0.83,1.43,Championship
Portsmouth,37,27.3,45.1,46,506,"4,140",46.0,57,35,92,52,5,7,113,1,55.2,49.7,35.1,84.9,504,1241,1.24,0.76,2.00,1.13,1.89,1.20,0.76,1.96,1.08,1.84,Championship
Preston,28,27.6,48.3,46,506,"4,140",46.0,47,35,82,45,2,2,119,5,51.6,50.0,40.7,90.7,570,1377,1.02,0.76,1.78,0.98,1.74,1.12,0.88,2.01,1.09,1.97,Championship
QPR,30,26.9,46.5,46,506,"4,140",46.0,49,34,83,47,2,3,95,3,47.9,45.6,35.5,81.1,560,1210,1.07,0.74,1.80,1.02,1.76,1.04,0.77,1.81,0.99,1.76,Championship
Sheffield Utd,33,25.6,51.4,46,506,"4,140",46.0,59,38,97,56,3,5,96,2,62.0,58.1,46.4,104.5,634,1632,1.28,0.83,2.11,1.22,2.04,1.35,1.01,2.36,1.26,2.27,Championship
Sheffield Weds,28,27.9,48.2,46,506,"4,140",46.0,56,43,99,54,2,4,87,2,62.7,59.5,47.2,106.7,692,1507,1.22,0.93,2.15,1.17,2.11,1.36,1.03,2.39,1.29,2.32,Championship
Stoke City,32,24.9,46.9,46,506,"4,140",46.0,44,29,73,39,5,6,107,0,50.8,46.0,35.1,81.1,597,1299,0.96,0.63,1.59,0.85,1.48,1.10,0.76,1.87,1.00,1.76,Championship
Sunderland,30,24.3,49.1,46,506,"4,140",46.0,55,37,92,54,1,5,101,4,58.1,54.1,40.3,94.4,888,1837,1.20,0.80,2.00,1.17,1.98,1.26,0.88,2.14,1.18,2.05,Championship
Swansea City,26,26.4,57.6,46,506,"4,140",46.0,48,35,83,46,2,3,71,1,56.3,54.0,43.2,97.2,801,1697,1.04,0.76,1.80,1.00,1.76,1.22,0.94,2.16,1.17,2.11,Championship
Watford,32,26.1,52.4,46,506,"4,140",46.0,52,33,85,45,7,7,103,6,55.3,50.0,38.6,88.7,816,1434,1.13,0.72,1.85,0.98,1.70,1.20,0.84,2.04,1.09,1.93,Championship
West Brom,30,27.5,54.1,46,506,"4,140",46.0,56,43,99,55,1,1,79,4,58.5,57.7,46.2,103.9,858,1655,1.22,0.93,2.15,1.20,2.13,1.27,1.00,2.28,1.25,2.26,Championship
Bari,30,28.7,50.6,38,418,"3,420",38.0,39,29,68,36,3,5,101,1,46.8,42.8,34.4,77.2,633,1342,1.03,0.76,1.79,0.95,1.71,1.23,0.90,2.13,1.13,2.03,Serie B
Brescia,26,27.1,46.6,38,418,"3,420",38.0,39,25,64,37,2,2,91,2,42.4,40.8,31.1,72.0,541,1225,1.03,0.66,1.68,0.97,1.63,1.11,0.82,1.93,1.07,1.89,Serie B
